Intervals per Rule = 1
Rules per class = 40
Iterations = 10000
Training File = ˆ$­û
Test File = ˆ$­û
best on training set at iteration 0:  45.8458%
best on training set at iteration 100:  46.2462%
best on training set at iteration 200:  50.5506%
best on training set at iteration 300:  53.1532%
best on training set at iteration 400:  56.1562%
best on training set at iteration 500:  58.1582%
best on training set at iteration 600:  59.7598%
best on training set at iteration 700:  61.1612%
best on training set at iteration 800:  62.7628%
best on training set at iteration 900:  64.6647%
best on training set at iteration 1000:  65.5656%
best on training set at iteration 1100:  66.2663%
best on training set at iteration 1200:  67.1672%
best on training set at iteration 1300:  68.6687%
best on training set at iteration 1400:  69.1692%
best on training set at iteration 1500:  70.5706%
best on training set at iteration 1600:  71.1712%
best on training set at iteration 1700:  72.2723%
best on training set at iteration 1800:  73.974%
best on training set at iteration 1900:  74.4745%
best on training set at iteration 2000:  75.3754%
best on training set at iteration 2100:  76.0761%
best on training set at iteration 2200:  76.3764%
best on training set at iteration 2300:  77.0771%
best on training set at iteration 2400:  77.5776%
best on training set at iteration 2500:  78.1782%
best on training set at iteration 2600:  78.5786%
best on training set at iteration 2700:  79.3794%
best on training set at iteration 2800:  79.7798%
best on training set at iteration 2900:  80.2803%
best on training set at iteration 3000:  80.981%
best on training set at iteration 3100:  81.1812%
best on training set at iteration 3200:  81.5816%
best on training set at iteration 3300:  82.0821%
best on training set at iteration 3400:  82.2823%
best on training set at iteration 3500:  82.5826%
best on training set at iteration 3600:  82.6827%
best on training set at iteration 3700:  82.6827%
best on training set at iteration 3800:  82.8829%
best on training set at iteration 3900:  83.0831%
best on training set at iteration 4000:  83.0831%
best on training set at iteration 4100:  83.4835%
best on training set at iteration 4200:  83.5836%
best on training set at iteration 4300:  83.5836%
best on training set at iteration 4400:  83.6837%
best on training set at iteration 4500:  83.984%
best on training set at iteration 4600:  84.0841%
best on training set at iteration 4700:  84.0841%
best on training set at iteration 4800:  84.0841%
best on training set at iteration 4900:  84.2843%
best on training set at iteration 5000:  84.3844%
best on training set at iteration 5100:  84.4845%
best on training set at iteration 5200:  84.5846%
best on training set at iteration 5300:  84.5846%
best on training set at iteration 5400:  84.6847%
best on training set at iteration 5500:  84.7848%
best on training set at iteration 5600:  84.7848%
best on training set at iteration 5700:  84.8849%
best on training set at iteration 5800:  85.0851%
best on training set at iteration 5900:  85.1852%
best on training set at iteration 6000:  85.1852%
best on training set at iteration 6100:  85.3854%
best on training set at iteration 6200:  85.4855%
best on training set at iteration 6300:  85.5856%
best on training set at iteration 6400:  85.5856%
best on training set at iteration 6500:  85.5856%
best on training set at iteration 6600:  85.7858%
best on training set at iteration 6700:  85.8859%
best on training set at iteration 6800:  86.0861%
best on training set at iteration 6900:  86.4865%
best on training set at iteration 7000:  86.5866%
best on training set at iteration 7100:  86.987%
best on training set at iteration 7200:  87.1872%
best on training set at iteration 7300:  87.3874%
best on training set at iteration 7400:  87.4875%
best on training set at iteration 7500:  87.7878%
best on training set at iteration 7600:  87.8879%
best on training set at iteration 7700:  87.988%
best on training set at iteration 7800:  88.0881%
best on training set at iteration 7900:  88.1882%
best on training set at iteration 8000:  88.3884%
best on training set at iteration 8100:  88.4885%
best on training set at iteration 8200:  88.4885%
best on training set at iteration 8300:  88.8889%
best on training set at iteration 8400:  88.8889%
best on training set at iteration 8500:  88.989%
best on training set at iteration 8600:  89.1892%
best on training set at iteration 8700:  89.3894%
best on training set at iteration 8800:  89.3894%
best on training set at iteration 8900:  89.6897%
best on training set at iteration 9000:  89.6897%
best on training set at iteration 9100:  89.8899%
best on training set at iteration 9200:  89.99%
best on training set at iteration 9300:  90.2903%
best on training set at iteration 9400:  90.3904%
best on training set at iteration 9500:  90.3904%
best on training set at iteration 9600:  90.4905%
best on training set at iteration 9700:  90.4905%
best on training set at iteration 9800:  90.5906%
